"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"RF1MH123195","Department of Neurology, Massachusetts General Hospital, Harvard Medical School, J. Philip Kistler Stroke Research Center, Cambridge Str. 175, Suite 300, Boston, MA, 02114, USA. VPEROSA@mgh.harvard.edu.","2022","Perosa, Valentina; Oltmer, Jan; Munting, Leon P; Freeze, Whitney M; Auger, Corinne A; Scherlek, Ashley A; van der Kouwe, Andre J; Iglesias, Juan Eugenio; Atzeni, Alessia; Bacskai, Brian J; Viswanathan, Anand; Frosch, Matthew P; Greenberg, Steven M; van Veluw, Susanne J","Germany","1432-0533","3","<a href='https://pubmed.ncbi.nlm.nih.gov/34928427'>Acta neuropathologica</a>","Acta Neuropathol","143","eng","331-348","9047512","34928427","2022 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9047512'>Perivascular space dilation is associated with vascular amyloid-β accumulation in the overlying cortex.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34928427&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9047512/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34928427'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9047512/'>Cited By, Google</a>",10.04
"K23MH127305","Department of Psychiatry, Washington University in St. Louis, USA. Electronic address: choyniak@wustl.edu.","2022","Hoyniak, Caroline; Whalen, Diana J; Tillman, Rebecca; Luby, Joan L; Barch, Deanna M","Netherlands","1878-9307"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/34933170'>Developmental cognitive neuroscience</a>","Dev Cogn Neurosci","53","eng","101053","8693016","34933170","2022 Feb","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8693016'>Preschool sleep and depression interact to predict gray matter volume trajectories across late childhood to adolescence.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34933170&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8693016/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34933170'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8693016/'>Cited By, Google</a>"," ",
"T32MH020031","Center for Interdisciplinary Research on AIDS, Yale School of Public Health, 220 E. 23rd Street, Suite 405, New York, NY, 10010, USA; Department of Human Development and Family Studies, The Pennsylvania State University, 208 Health and Human Development Building, University Park, PA, 16803, USA. Electronic address: eric.layland@yale.edu.","2022","Layland, Eric K; Maggs, Jennifer L; Kipke, Michele D; Bray, Bethany C","England","1873-5347"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/34933242'>Social science & medicine (1982)</a>","Soc Sci Med","293","eng","114602","9020748","34933242","2022 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9020748'>Intersecting racism and homonegativism among sexual minority men of color: Latent class analysis of multidimensional stigma with subgroup differences in health and sociostructural burdens.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34933242&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9020748/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34933242'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9020748/'>Cited By, Google</a>",2.2
"P30MH062246","Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Connecticut.","2022","Lu, Haidong; Cole, Stephen R; Westreich, Daniel; Hudgens, Michael G; Adimora, Adaora A; Althoff, Keri N; Silverberg, Michael J; Buchacz, Kate; Li, Jun; Edwards, Jessie K; Rebeiro, Peter F; Lima, Viviane D; Marconi, Vincent C; Sterling, Timothy R; Horberg, Michael A; Gill, M John; Kitahata, Mari M; Eron, Joseph J; Moore, Richard D; 
                                North American AIDS Cohort Collaboration on Research, Design of the International Epidemiologic Databases to Evaluate AIDS
                                ","England","1473-5571","2","<a href='https://pubmed.ncbi.nlm.nih.gov/34934020'>AIDS (London, England)</a>","AIDS","36","eng","277-286","9048218","34934020","2022 Feb 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9048218'>Virologic outcomes among adults with HIV using integrase inhibitor-based antiretroviral therapy.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34934020&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9048218/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34934020'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9048218/'>Cited By, Google</a>",0.85
"K23MH123864","Weill Cornell Institute of Geriatric Psychiatry, Weill Cornell Medicine, White Plains, NY. Electronic address: nis2051@med.cornell.edu.","2022","Solomonov, Nili; Phan, Dustin K","England","1545-7214","6","<a href='https://pubmed.ncbi.nlm.nih.gov/34937672'>The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry</a>","Am J Geriatr Psychiatry","30","eng","686-688","9106908","34937672","2022 Jun","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9106908'>Improving Interventions for Loneliness and Social Isolation in Late Life: The Potential Role of Positive Affect.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34937672&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9106908/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34937672'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9106908/'>Cited By, Google</a>",0.27
"R37MH066078","Department of Electrical and Systems Engineering, Washington University in St. Louis, St. Louis, MO, USA; Department of Psychological and Brain Sciences, Washington University in St. Louis, St. Louis, MO, USA; Center for Molecular and Behavioral Neuroscience, Rutgers University, Newark, NJ 07102, USA. Electronic address: f.singh@wustl.edu.","2022","Singh, Matthew F; Wang, Anxu; Cole, Michael; Ching, ShiNung; Braver, Todd S","United States","1095-9572"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/34942364'>NeuroImage</a>","Neuroimage","247","eng","118836","10069385","34942364","2022 Feb 15","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10069385'>Enhancing task fMRI preprocessing via individualized model-based filtering of intrinsic activity dynamics.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34942364&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10069385/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34942364'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10069385/'>Cited By, Google</a>",0.89
"R01MH116026","University of Colorado, Boulder.","2022","Jung, Heejung; Wager, Tor D; Carter, R McKell","United States","1530-8898","3","<a href='https://pubmed.ncbi.nlm.nih.gov/34942643'>Journal of cognitive neuroscience</a>","J Cogn Neurosci","34","eng","381-396","9365194","34942643","2022 Feb 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9365194'>Novel Cognitive Functions Arise at the Convergence of Macroscale Gradients.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34942643&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9365194/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34942643'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9365194/'>Cited By, Google</a>",0.94
"R01MH101244","Division of Genetics, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, USA; Department of Biomedical Informatics, Harvard Medical School, Boston, MA 02115, USA; The Charles Bronfman Institute for Personalized Medicine, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Department of Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.","2022","Balick, Daniel J; Jordan, Daniel M; Sunyaev, Shamil; Do, Ron","United States","1537-6605","1","<a href='https://pubmed.ncbi.nlm.nih.gov/34951958'>American journal of human genetics</a>","Am J Hum Genet","109","eng","33-49","8764206","34951958","2022 Jan 06","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8764206'>Overcoming constraints on the detection of recessive selection in human genes from population frequency data.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34951958&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8764206/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34951958'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8764206/'>Cited By, Google</a>",0.9
"R01MH121397","White River Junction Veterans Affairs Medical Center, White River Junction, Vermont; Veterans Administration National Center for PTSD, White River Junction, Vermont; Geisel School of Medicine at Dartmouth, Hanover, New Hampshire. Electronic address: brian.shiner@va.gov.","2022","Shiner, Brian; Forehand, Jenna A; Rozema, Luke; Kulldorff, Martin; Watts, Bradley V; Trefethen, Marina; Jiang, Tammy; Huybrechts, Krista F; Schnurr, Paula P; Vincenti, Matthew; Gui, Jiang; Gradus, Jaimie L","United States","1873-2402","7","<a href='https://pubmed.ncbi.nlm.nih.gov/34952698'>Biological psychiatry</a>","Biol Psychiatry","91","eng","647-657","8918007","34952698","2022 Apr 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8918007'>Mining Clinical Data for Novel Posttraumatic Stress Disorder Medications.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34952698&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8918007/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34952698'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8918007/'>Cited By, Google</a>",0.99
"T32MH080634","Faculdade de Odontologia da Universidade de Sāo Paulo (USP), Sāo Paulo, SP, Brazil. Electronic address: mayra_oliveira@alumni.usp.br.","2022","de Oliveira, Mayra Monteiro; Fuller, Trevon L; Gabaglia, Claudia R; Cambou, Mary Catherine; Brasil, Patricia; de Vasconcelos, Zilton Farias Meira; Nielsen-Saines, Karin","United States","1096-0260"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/34953811'>Preventive medicine</a>","Prev Med","155","eng","106914","8716082","34953811","2022 Feb","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8716082'>Repercussions of the COVID-19 pandemic on preventive health services in Brazil.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34953811&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8716082/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34953811'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8716082/'>Cited By, Google</a>",1.6
"R01MH122473","The Institute of Child Development, University of Minnesota, Minneapolis, MN 55455, United States; Department of Psychology, University of Minnesota, Minneapolis, MN 55455, United States. Electronic address: bende369@umn.edu.","2022","Bendezú, Jason José; Thai, Michelle; Wiglesworth, Andrea; Cullen, Kathryn R; Klimes-Dougan, Bonnie","Netherlands","1573-2517"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/34954334'>Journal of affective disorders</a>","J Affect Disord","300","eng","269-279","9062769","34954334","2022 Mar 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9062769'>Adolescent stress experience-expression-physiology correspondence: Links to depression, self-injurious thoughts and behaviors, and frontolimbic neural circuity.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=34954334&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9062769/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=34954334'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9062769/'>Cited By, Google</a>",2.89
"DP2MH129967","University of Southern California, Suzanne Dworak-Peck School of Social Work, 669 W 34 St., Los Angeles, CA 90089, USA.","2022","Blosnich, John R","Switzerland","2196-2995","3","<a href='https://pubmed.ncbi.nlm.nih.gov/36845319'>Current epidemiology reports</a>","Curr Epidemiol Rep","9","eng","142-160","9957556","36845319","2022 Sep","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9957556'>Interpersonal and self-directed violence among sexual and gender minority populations: Moving research from prevalence to prevention.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36845319&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9957556/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36845319'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9957556/'>Cited By, Google</a>",0.96
"R01MH123550","Center for Biomedical Image Computing and Analytics (CBICA), Department of Biostatistics, Epidemiology, and Informatics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA, 19104.","2022","Zhou, Zhen; Srinivasan, Dhivya; Li, Hongming; Abdulkadir, Ahmed; Shou, Haochang; Davatzikos, Christos; Fan, Yong; ISTAGING Consortium","United States","0277-786X"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36845412'>Proceedings of SPIE--the International Society for Optical Engineering</a>","Proc SPIE Int Soc Opt Eng","12036","eng"," ","9951555","36845412","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9951555'>Harmonization of multi-site functional connectivity measures in tangent space improves brain age prediction.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36845412&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9951555/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36845412'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9951555/'>Cited By, Google</a>",0.2
"R01MH125740","Carnegie Mellon University, Pittsburgh, Pennsylvania, USA.","2022","Vail, Alexandria K; Girard, Jeffrey M; Bylsma, Lauren M; Cohn, Jeffrey F; Fournier, Jay; Swartz, Holly A; Morency, Louis-Philippe","United States"," "," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36913231'>Proceedings of the ... ACM International Conference on Multimodal Interaction. ICMI (Conference)</a>","Proc ACM Int Conf Multimodal Interact","2022","eng","487-494","9999472","36913231","2022 Nov","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9999472'>Toward Causal Understanding of Therapist-Client Relationships: A Study of Language Modality and Social Entrainment.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36913231&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9999472/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36913231'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9999472/'>Cited By, Google</a>",0.31
"R01MH123508","Research Group Experimental Oto-Rhino-Laryngology, Department of Neurosciences, Leuven Brain Institute, KU Leuven, Leuven, Belgium.","2022","Kerstens, Silke; Orban de Xivry, Jean-Jacques; Mc Laughlin, Myles","Switzerland","1664-2295"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36452171'>Frontiers in neurology</a>","Front Neurol","13","eng","1049409","9702085","36452171","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9702085'>A novel tDCS control condition using optimized anesthetic gel to block peripheral nerve input.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36452171&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9702085/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36452171'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9702085/'>Cited By, Google</a>",0.5
"R01MH125103","Department of Microbiology and Immunology, University of Rochester Medical Center, Rochester, NY, United States.","2022","Bui, Tina I; Britt, Emily A; Muthukrishnan, Gowrishankar; Gill, Steven R","Switzerland","1664-2392"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36714575'>Frontiers in endocrinology</a>","Front Endocrinol (Lausanne)","13","eng","1094258","9880209","36714575","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9880209'>Probiotic induced synthesis of microbiota polyamine as a nutraceutical for metabolic syndrome and obesity-related type 2 diabetes.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36714575&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9880209/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36714575'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9880209/'>Cited By, Google</a>"," ",
"R01MH115031","Maryland Psychiatric Research Center (MPRC), Department of Psychiatry, University of Maryland School of Medicine, Baltimore, MD 21228, USA.","2022","Nudelman, Jacob L; Waltz, James A","England","2398-385X","6","<a href='https://pubmed.ncbi.nlm.nih.gov/36741029'>Journal of psychiatry and brain science</a>","J Psychiatr Brain Sci","7","eng"," ","9894320","36741029","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9894320'>Acute and Lifetime Stress and Psychotic Illness: The Roles of Reward and Salience Networks.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36741029&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9894320/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36741029'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9894320/'>Cited By, Google</a>",0.31
"R01MH122491","Department of Psychology, University of Michigan, Ann Arbor, Michigan.","2022","Lasagna, Carly A; Pleskac, Timothy J; Burton, Cynthia Z; McInnis, Melvin G; Taylor, Stephan F; Tso, Ivy F","England","2379-6227","1","<a href='https://pubmed.ncbi.nlm.nih.gov/36743406'>Computational psychiatry (Cambridge, Mass.)</a>","Comput Psychiatr","6","eng","96-116","9897236","36743406","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9897236'>Mathematical modeling of risk-taking in bipolar disorder: Evidence of reduced behavioral consistency, with altered loss aversion specific to those with history of substance use disorder.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36743406&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9897236/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36743406'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9897236/'>Cited By, Google</a>",0.76
